display_name,is_system_created,service_type,service_entries,id,path
ESXi Syslog Collector,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['8001'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'VMware-VC-Syslog', 'display_name': 'VMware-VC-Syslog'}]",['id'],/infra/services/ESXi_Syslog_Collector
EdgeSync service,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['50636'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'EdgeSync_service', 'display_name': 'EdgeSync service'}]",['id'],/infra/services/EdgeSync_service
EdgeSync service/ADAM,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['50389'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'EdgeSync_service-ADAM', 'display_name': 'EdgeSync service/ADAM'}]",['id'],/infra/services/EdgeSync_service-ADAM
Enterprise Manager RMI port,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1850'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Enterprise_Manager_RMI_port', 'display_name': 'Enterprise Manager RMI port'}]",['id'],/infra/services/Enterprise_Manager_RMI_port
Enterprise Manager Reporting port,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['3339'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Enterprise_Manager_Reporting_port', 'display_name': 'Enterprise Manager Reporting port'}]",['id'],/infra/services/Enterprise_Manager_Reporting_port
Enterprise Manager Servlet port SSL,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1810'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Enterprise_Manager_Servlet_port_SSL', 'display_name': 'Enterprise Manager Servlet port SSL'}]",['id'],/infra/services/Enterprise_Manager_Servlet_port_SSL
Enterprise ManagerAgent port,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1831'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Enterprise_ManagerAgent_port', 'display_name': 'Enterprise ManagerAgent port'}]",['id'],/infra/services/Enterprise_ManagerAgent_port
Exchange ActiveSync,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['2883'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Exchange_ActiveSync', 'display_name': 'Exchange ActiveSync'}]",['id'],/infra/services/Exchange_ActiveSync
FTP,True,['service_type'],"[{'l4_protocol': None, 'source_ports': [], 'destination_ports': ['21'], 'resource_type': 'ALGTypeServiceEntry', 'id': 'FTP', 'display_name': 'FTP'}]",['id'],/infra/services/FTP
For X.400 connections over TCP,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['102'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'For_X.400_connections_over_TCP', 'display_name': 'For X.400 connections over TCP'}]",['id'],/infra/services/For_X.400_connections_over_TCP
GZCM00003-TCP-1234-1675827659870,False,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1234'], 'resource_type': 'L4PortSetServiceEntry', 'id': '3030a4a5-8a0e-40e6-bdef-42bdc16399cf', 'display_name': 'GZCM00003-TCP-1234-1675827659870'}]",['id'],/infra/services/ca9c4696-db08-4233-be06-b3c67cd52565
GZCM00003-TCP-1234-1676270997071,False,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1234'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'd423b23f-fe31-46e4-b0bb-3af560968c8f', 'display_name': 'GZCM00003-TCP-1234-1676270997071'}]",['id'],/infra/services/df63aa64-f4a4-4812-9dd7-b76f32949264
GZCM00003-TCP-1234-1676271129073,False,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1234'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'd32a3151-af14-4433-8891-d1c5b51af079', 'display_name': 'GZCM00003-TCP-1234-1676271129073'}]",['id'],/infra/services/b6e30647-7f90-493e-a2c2-ce724ef82a31
GZCM00003-TCP-1234-1676271489854,False,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1234'], 'resource_type': 'L4PortSetServiceEntry', 'id': '597cebe1-2c9c-4b17-ba56-9ec8f4c6399e', 'display_name': 'GZCM00003-TCP-1234-1676271489854'}]",['id'],/infra/services/8f745e2c-c3db-40a1-ba31-cc748d9c9f75
GZCM00003-TCP-1234-1676272036821,False,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1234'], 'resource_type': 'L4PortSetServiceEntry', 'id': '0744d137-6660-49c1-9f7f-0865694ce9dc', 'display_name': 'GZCM00003-TCP-1234-1676272036821'}]",['id'],/infra/services/b698a38e-cb64-44a1-a660-0dc4240212a9
H323 Call Signaling,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['1720'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'H323_Call_Signaling', 'display_name': 'H323 Call Signaling'}]",['id'],/infra/services/H323_Call_Signaling
H323 Gatekeeper Discovery,True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['1718'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'H323_Gatekeeper_Discovery', 'display_name': 'H323 Gatekeeper Discovery'}]",['id'],/infra/services/H323_Gatekeeper_Discovery
HBR Server App,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['5480'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'HBR_Server_App', 'display_name': 'HBR Server App'}]",['id'],/infra/services/HBR_Server_App
HTTP,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['80'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'HTTP', 'display_name': 'HTTP'}]",['id'],/infra/services/HTTP
HTTPS,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['443'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'HTTPS', 'display_name': 'HTTPS'}]",['id'],/infra/services/HTTPS
"HTTPS, net.tcp binding",True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['32843', '32844', '32845'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'HTTPS,_net.tcp_binding', 'display_name': 'HTTPS, net.tcp binding'}]",['id'],"/infra/services/HTTPS,_net.tcp_binding"
